Id,Habitaciones,banos,Parqueaderos,area_construida,area_privada,Estrato,antigüedad,piso_No,administracion,precio m,transaccion,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link,antigüedad_ad,tipo inmueble
1994,No definida,7,No definida,7555,7555,3,30,No definida,No definida,No definida,Arriendo,158000000,puente aranda,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/puente-aranda/bogota/8048604,mas de 30 años,Bodega
1995,1,1,1,45,45,5,1630,3,No definida,No definida,Arriendo,2200000,polo club,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/polo-club/bogota/10124599,16 a 30 años,Apartamento
1996,4,2,No definida,60,0,5,1630,No definida,No definida,No definida,Arriendo,1500000,la giralda,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/la-giralda/bogota/8056215,16 a 30 años,Apartamento
1997,No definida,2,No definida,160,160,3,1630,1,No definida,No definida,Arriendo,4000000,rionegro,Bogota,No definida,Bueno,/inmueble/bodega-en-arriendo/rionegro/bogota/7889045,16 a 30 años,Bodega
1998,3,3,No definida,164,155,2,30,2,No definida,No definida,Arriendo,1600000,san cristobal norte,Bogota,No definida,Bueno,/inmueble/apartamento-en-arriendo/san-cristobal-norte/bogota/8089957,mas de 30 años,Apartamento
1999,4,5,3,200,200,6,915,5,1200000,No definida,Arriendo,5500000,chico navarra,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/chico-navarra/bogota/8094518,9 a 15 años,Apartamento
2000,No definida,2,No definida,225,0,4,18,No definida,No definida,No definida,Arriendo,3500000,las nieves,Bogota,No definida,Bueno,/inmueble/local-en-arriendo/las-nieves/bogota/7838206,1 a 8 años,Local
2001,4,3,No definida,12,0,4,915,5,No definida,No definida,Arriendo,950000,estrella del norte,Bogota,No definida,No definida,/inmueble/habitacion-en-arriendo/estrella-del-norte/bogota/10123764,9 a 15 años,Habitacion
2002,1,2,1,63,63,5,No definida,No definida,400000,No definida,Arriendo,2400000,antiguo country,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/antiguo-country/bogota/7932278,No definida,Apartamento
2003,3,3,2,101,101,6,1630,2,700000,No definida,Arriendo,4500000,san patricio,Bogota,No definida,Excelente,/inmueble/apartamento-en-arriendo/san-patricio/bogota/8026754,16 a 30 años,Apartamento
2004,5,3,2,250,250,5,1630,No definida,No definida,No definida,Arriendo,5800000,el contador,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/el-contador/bogota/10119615,16 a 30 años,Casa
2005,No definida,No definida,No definida,2693,0,3,18,No definida,No definida,No definida,Arriendo,67340750,montevideo,Bogota,No definida,Bueno,/inmueble/edificio-en-arriendo/montevideo/bogota/7829211,1 a 8 años,Edificio
2006,1,2,2,60,0,6,915,3,No definida,No definida,Arriendo,4000000000,chico norte,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/chico-norte/bogota/10141939,9 a 15 años,Apartamento
2007,2,1,No definida,40,0,3,18,No definida,No definida,No definida,Arriendo,1200000,san jorge central,Bogota,Loft,Excelente,/inmueble/apartamento-en-arriendo/san-jorge-central/bogota/8041693,1 a 8 años,Apartamento
2008,1,1,No definida,30,30,4,1630,6,238300,No definida,Arriendo,1151700,ciudad universitaria,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/ciudad-universitaria/bogota/10123723,16 a 30 años,Apartamento
2009,2,1,No definida,45,50,3,18,1,No definida,No definida,Arriendo,920000,eduardo santos,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/eduardo-santos/bogota/10118754,1 a 8 años,Apartamento
2010,1,1,1,40,40,4,18,6,150000,No definida,Arriendo,1950000,las americas,Bogota,Loft,No definida,/inmueble/apartaestudio-en-arriendo/las-americas/bogota/10121702,1 a 8 años,Apartaestudio
2011,2,2,1,120,120,5,915,2,No definida,No definida,Arriendo,2600000,alameda,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/alameda/bogota/10076531,9 a 15 años,Apartamento
