,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Transacción,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link
211,3.0,3.0,2.0,218.0,218.0,6.0,30.0,3.0,1150000.0,6422018.35,Venta,1400000000.0,los rosales,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/los-rosales/bogota/8086480
212,3.0,2.0,1.0,58.0,58.0,3.0,915.0,4.0,No definida,4137931.03,Venta,240000000.0,favidi,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/favidi/bogota/7803581
213,2.0,2.0,1.0,60.0,56.0,4.0,18.0,7.0,395000.0,6450000.0,Venta,387000000.0,galerias,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/galerias/bogota/10128473
214,4.0,3.0,2.0,200.0,200.0,5.0,1630.0,2.0,No definida,3900000.0,Venta,780000000.0,las villas,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/las-villas/bogota/7863111
215,1.0,1.0,1.0,47.0,42.0,4.0,18.0,8.0,205000.0,6893617.02,Venta,324000000.0,los cedros,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/los-cedros/bogota/10115332
216,2.0,1.0,No definida,49.0,49.0,3.0,30.0,5.0,138000.0,2959183.67,Venta,145000000.0,san pablo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/san-pablo/bogota/10143294
217,4.0,4.0,2.0,192.0,175.0,5.0,915.0,3.0,713000.0,7812500.0,Venta,1500000000.0,ciudad salitre,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/10105863
218,3.0,3.0,2.0,98.0,0.0,5.0,1630.0,5.0,487000.0,5306122.45,Venta,520000000.0,puente largo,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/puente-largo/bogota/6788622
219,4.0,2.0,No definida,120.0,0.0,2.0,30.0,2.0,No definida,1833333.33,Venta,220000000.0,walessa,Bogotá,No definida,No definida,/inmueble/casa-en-venta/walessa/bogota/10076136
220,3.0,2.0,1.0,83.0,79.0,3.0,18.0,2.0,219000.0,4337228.92,Venta,359990000.0,plaza imperial centro comercial,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/plaza-imperial-centro-comercial/bogota/7973982
221,4.0,1.0,No definida,140.0,120.0,2.0,1630.0,4.0,No definida,1514285.71,Venta,212000000.0,ub atlanta,Bogotá,No definida,No definida,/inmueble/casa-en-venta/ub-atlanta/bogota/10116381
222,3.0,2.0,1.0,60.0,60.0,3.0,No definida,5.0,145000.0,4166666.67,Venta,250000000.0,nuevo techo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/nuevo-techo/bogota/10126370
223,3.0,2.0,1.0,87.0,89.0,4.0,915.0,11.0,No definida,4597701.15,Venta,400000000.0,el dorado,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-dorado/bogota/7960820
224,4.0,6.0,4.0,253.0,242.0,6.0,30.0,3.0,1200000.0,5928853.75,Venta,1500000000.0,la carolina,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/la-carolina/bogota/7590898
225,2.0,1.0,No definida,48.0,48.0,3.0,1630.0,3.0,117900.0,3104166.67,Venta,149000000.0,belen fontibon,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/belen-fontibon/bogota/7478256
226,1.0,1.0,No definida,51.0,0.0,6.0,30.0,6.0,200000.0,5686274.51,Venta,290000000.0,chico,Bogotá,No definida,No definida,/inmueble/apartaestudio-en-venta/chico/bogota/10051223
227,3.0,4.0,2.0,129.0,0.0,5.0,1630.0,5.0,698000.0,5271317.83,Venta,680000000.0,cedritos,Bogotá,PentHouse,Excelente,/inmueble/apartamento-en-venta/cedritos/bogota/7972175
228,3.0,2.0,1.0,75.0,72.0,3.0,18.0,5.0,80000.0,3733200.0,Venta,279990000.0,los cerezos,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/los-cerezos/bogota/7932944
229,4.0,2.0,2.0,73.2,0.0,3.0,1630.0,2.0,No definida,7923497.27,Venta,580000000.0,alamos,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/alamos/bogota/7934434
